index,Region,Population,Area,PopDensity,Coastline,Netmigration,Infantmortality,GDP,Literacy,Phones,Arable,Crops,Other,Birthrate,Deathrate,Agriculture,Industry,Service,HandwashingFacilities,Extremepoverty,Medianage,Lifeexpectancy,Humandevelopmentindex
23,4.0,9396411.0,88361.0,106.30000305175781,0.0,-1.3300000429153442,12.890000343322754,2200.0,93.0,285.79998779296875,33.349998474121094,3.200000047683716,63.45000076293945,,,0.16599999368190765,0.2549999952316284,0.5789999961853027,97.71900177001953,,41.20000076293945,76.0,0.8059999942779541
24,7.0,12127071.0,1246700.0,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,45.11,24.2,0.096,0.658,0.246,26.663999557495117,,16.799999237060547,61.150001525878906,0.5809999704360962
25,7.0,9690222.0,245857.0,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,41.76,15.48,0.237,0.362,0.401,17.450000762939453,35.29999923706055,19.0,61.599998474121094,0.47699999809265137
26,10.0,2274735.0,64589.0,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,9.24,13.66,0.04,0.261,0.699,,0.699999988079071,43.900001525878906,75.29000091552734,0.8659999966621399
27,0.0,21456188.0,527970.0,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,42.89,8.3,0.135,0.472,0.393,49.54199981689453,18.799999237060547,20.299999237060547,66.12000274658203,0.4699999988079071
28,2.0,5450661.0,43094.0,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,11.13,10.36,0.018,0.246,0.735,,0.20000000298023224,42.29999923706055,80.9000015258789,0.9399999976158142
29,1.0,6368481.0,236800.0,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,35.49,11.55,0.455,0.287,0.258,49.8390007019043,22.700000762939453,24.399999618530273,67.91999816894531,0.6129999756813049
30,2.0,32543.0,2.0,16271.5,205.0,7.75,5.429999828338623,27000.0,99.0,1035.5999755859375,0.0,0.0,100.0,9.1899995803833,12.90999984741211,0.17000000178813934,,,,,,86.75,
31,2.0,10688058.0,131940.0,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,9.68,10.24,0.054,0.213,0.733,,1.5,45.29999923706055,82.23999786376953,0.8880000114440918
32,7.0,13902972.0,274200.0,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,45.62,15.6,0.322,0.196,0.482,11.876999855041504,43.70000076293945,17.600000381469727,61.58000183105469,0.4519999921321869
33,9.0,4661473.0,69700.0,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,10.41,9.23,0.172,0.275,0.553,,4.199999809265137,38.70000076293945,73.7699966430664,0.8119999766349792
34,9.0,46710816.0,603700.0,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,8.82,14.39,0.187,0.452,0.361,,0.10000000149011612,41.400001525878906,72.05999755859375,0.7789999842643738
35,2.0,9016596.0,449964.0,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,10.27,10.31,0.011,0.282,0.707,,0.5,41.0,82.80000305175781,0.9449999928474426
36,6.0,20264082.0,7686850.0,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,12.14,7.51,0.038,0.262,0.7,,0.5,37.900001525878906,83.44000244140625,0.9440000057220459
37,4.0,10235455.0,78866.0,129.8,0.0,0.97,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,9.02,10.59,0.034,0.393,0.573,,,43.29999923706055,79.37999725341797,0.8999999761581421
38,10.0,3585906.0,65200.0,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,8.75,10.98,0.055,0.325,0.62,,0.699999988079071,43.5,75.93000030517578,0.8820000290870667
39,8.0,28302604.0,1285220.0,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,20.48,6.23,0.08,0.27,0.65,,3.5,29.100000381469727,76.73999786376953,0.7770000100135803
40,0.0,5906760.0,92300.0,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,21.25,2.65,0.033,0.287,0.68,,0.10000000149011612,23.200000762939453,74.52999877929688,0.7289999723434448
41,10.0,1324333.0,45226.0,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,10.04,13.25,0.04,0.294,0.666,,0.5,42.70000076293945,78.73999786376953,0.8920000195503235
42,1.0,379444.0,5770.0,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,18.79,3.45,0.036,0.561,0.403,,,32.400001525878906,75.86000061035156,0.8379999995231628
43,3.0,33098932.0,9984670.0,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,10.78,7.8,0.022,0.294,0.684,,0.5,41.400001525878906,82.43000030517578,0.9290000200271606
44,2.0,474413.0,2586.0,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,11.94,8.41,0.01,0.13,0.86,,0.20000000298023224,39.70000076293945,82.25,0.9160000085830688
45,6.0,905949.0,18270.0,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,22.55,5.65,0.089,0.135,0.776,,1.399999976158142,28.600000381469727,67.44000244140625,0.7429999709129333
46,0.0,3102229.0,212460.0,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,36.24,3.81,0.027,0.39,0.583,97.4000015258789,,30.700000762939453,77.86000061035156,0.8130000233650208
47,1.0,2832224.0,1564116.0,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,21.59,6.95,0.206,0.214,0.58,71.18,0.5,28.6,69.87,0.737
48,1.0,2279723.0,47000.0,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,33.65,12.7,0.258,0.379,0.363,79.80699920654297,1.5,28.600000381469727,71.77999877929688,0.6539999842643738
49,8.0,117848.0,389.0,303.0,21.59,-7.64,14.78,2900.0,96.0,190.9,17.95,17.95,64.1,16.18,5.98,0.1,0.26,0.64,,,31.799999237060547,72.52999877929688,0.7379999756813049
50,9.0,142893540.0,17075200.0,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,9.95,14.65,0.054,0.371,0.575,,0.10000000149011612,39.599998474121094,72.58000183105469,0.8240000009536743
51,2.0,7523934.0,41290.0,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,9.71,8.49,0.015,0.34,0.645,,,43.099998474121094,83.77999877929688,0.9549999833106995
52,2.0,10379067.0,30528.0,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,10.38,10.27,0.01,0.24,0.749,,0.20000000298023224,41.79999923706055,81.62999725341797,0.9309999942779541
53,8.0,6822378.0,21040.0,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,31.85,12.07,56.08,26.61,5.78,0.099,0.302,0.599,90.65,2.2,27.6,73.32,0.673
54,1.0,23036088.0,35980.0,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,12.56,6.48,0.018,0.259,0.723,,,42.20000076293945,80.45999908447266,
55,6.0,20579.0,458.0,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,18.03,6.8,0.062,0.12,0.818,,,,73.69999694824219,0.8259999752044678
56,7.0,17654844.0,322460.0,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,35.11,14.84,0.279,0.171,0.55,19.35099983215332,28.200000762939453,18.700000762939453,57.779998779296875,0.5379999876022339
57,6.0,108004.0,702.0,153.9,870.66,-20.99,30.21,2000.0,89.0,114.8,5.71,45.71,48.58,24.68,4.75,0.289,0.152,0.559,,16.0,23.0,67.87999725341797,0.6200000047683716
58,7.0,1639833.0,600370.0,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,23.08,29.5,0.024,0.469,0.507,,,25.799999237060547,69.58999633789062,0.7350000143051147
59,7.0,5548702.0,56785.0,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,37.01,9.83,0.395,0.204,0.401,10.475000381469727,49.20000076293945,19.399999618530273,61.040000915527344,0.5149999856948853
60,6.0,105432.0,811.0,130.0,140.94000244140625,0.0,48.52000045776367,800.0,,42.70000076293945,2.740000009536743,50.68000030517578,46.58000183105469,30.649999618530273,8.260000228881836,0.08900000154972076,0.24199999868869781,0.6679999828338623,,,23.200000762939453,68.37000274658203,0.6299999952316284
61,4.0,38536868.0,312685.0,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,9.85,9.89,0.05,0.311,0.64,,,41.79999923706055,78.7300033569336,0.8799999952316284
62,7.0,81541.0,455.0,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,16.03,6.29,0.032,0.304,0.665,,1.100000023841858,36.20000076293945,73.4000015258789,0.7960000038146973
63,7.0,2022331.0,30355.0,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,24.75,28.71,0.163,0.443,0.394,2.117000102996826,59.599998474121094,22.200000762939453,54.33000183105469,0.5270000100135803
64,7.0,8648248.0,26338.0,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,40.37,16.09,0.401,0.229,0.37,4.617000102996826,56.0,20.299999237060547,69.0199966430664,0.5429999828338623
65,7.0,8090068.0,27830.0,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,42.22,13.46,0.463,0.203,0.334,6.144000053405762,71.69999694824219,17.5,61.58000183105469,0.43299999833106995
66,5.0,10175014.0,163610.0,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,15.52,5.13,0.132,0.318,0.55,78.687,2.0,32.7,76.7,0.74
67,4.0,5439448.0,48845.0,111.4000015258789,0.0,0.30000001192092896,7.409999847412109,13300.0,,220.10000610351562,30.15999984741211,2.619999885559082,67.22000122070312,10.649999618530273,9.449999809265137,0.03500000014901161,0.2939999997615814,0.671999990940094,,0.699999988079071,41.20000076293945,77.54000091552734,0.8600000143051147
68,1.0,165803550.0,803940.0,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,29.74,8.23,0.216,0.251,0.533,59.606998443603516,4.0,23.5,67.2699966430664,0.5569999814033508
69,1.0,84402970.0,329560.0,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,16.86,6.22,0.209,0.41,0.381,85.84700012207031,2.0,32.599998474121094,75.4000015258789,0.7039999961853027
70,2.0,4610820.0,323802.0,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,11.46,9.4,0.021,0.415,0.564,,0.20000000298023224,39.70000076293945,82.4000015258789,0.9570000171661377
71,7.0,22409572.0,239460.0,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,30.52,9.72,0.366,0.246,0.387,41.047000885009766,12.0,21.100000381469727,64.06999969482422,0.6110000014305115
72,5.0,32930092.0,2381740.0,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,17.14,4.61,0.101,0.6,0.298,83.74099731445312,0.5,29.100000381469727,76.87999725341797,0.7480000257492065
73,7.0,1424906.0,267667.0,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,36.16,12.25,0.061,0.592,0.348,,3.4000000953674316,23.100000381469727,66.47000122070312,0.703000009059906
74,1.0,359008.0,300.0,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,34.81,7.06,0.2,0.18,0.62,95.8030014038086,,30.600000381469727,78.91999816894531,0.7400000095367432
75,8.0,107449530.0,1972550.0,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,20.69,4.74,0.038,0.259,0.702,87.847,2.5,29.3,75.05,0.779
76,0.0,784301.0,9250.0,84.80000305175781,7.010000228881836,0.4300000071525574,7.179999828338623,19200.0,97.5999984741211,,7.789999961853027,4.440000057220459,87.7699966430664,12.5600004196167,7.679999828338623,0.03700000047683716,0.1979999989271164,0.7649999856948853,,,37.29999923706055,80.9800033569336,0.8870000243186951
77,9.0,7961619.0,86600.0,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,20.74,9.75,0.141,0.457,0.402,83.24099731445312,,32.400001525878906,73.0,0.7559999823570251
78,8.0,1065842.0,5128.0,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.62,9.16,76.22,12.9,10.57,0.007,0.57,0.423,89.44300079345703,,36.20000076293945,73.51000213623047,0.7960000038146973
79,2.0,299388.0,103000.0,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,13.64,6.72,0.086,0.15,0.765,,0.20000000298023224,37.29999923706055,82.98999786376953,0.9490000009536743
80,9.0,27307134.0,447400.0,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,26.36,7.84,0.342,0.229,0.43,,,28.200000762939453,71.72000122070312,0.7200000286102295
81,9.0,7320815.0,143100.0,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,32.65,8.25,0.234,0.286,0.48,72.7040023803711,4.800000190734863,23.299999237060547,71.0999984741211,0.6679999828338623
82,2.0,16491461.0,41526.0,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,10.9,8.68,0.021,0.244,0.736,,,43.20000076293945,82.27999877929688,0.9440000057220459
83,9.0,4466706.0,33843.0,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,15.7,12.64,0.213,0.233,0.555,86.979,0.2,37.6,71.9,0.75
84,2.0,33987.0,160.0,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,10.21,7.18,0.06,0.39,0.55,,,,82.48999786376953,0.9190000295639038
85,7.0,11987121.0,196190.0,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,32.78,9.42,0.172,0.209,0.619,20.858999252319336,38.0,18.700000762939453,67.94000244140625,0.5120000243186951
86,8.0,3431932.0,176220.0,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,13.91,9.05,0.093,0.311,0.596,,0.10000000149011612,35.599998474121094,77.91000366210938,0.8169999718666077
87,5.0,78887010.0,1001450.0,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,22.94,5.23,0.149,0.357,0.493,89.827,1.3,25.3,71.99,0.707
88,4.0,2050554.0,25333.0,80.9000015258789,0.0,-1.4500000476837158,10.09000015258789,6700.0,,260.0,22.260000228881836,1.809999942779541,75.93000030517578,12.020000457763672,8.770000457763672,0.11800000071525574,0.3190000057220459,0.5630000233650208,,5.0,39.099998474121094,75.80000305175781,0.7739999890327454
89,7.0,3042004.0,111370.0,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,44.77,23.1,0.769,0.054,0.177,1.187999963760376,38.599998474121094,19.200000762939453,64.0999984741211,0.47999998927116394
90,8.0,89703.0,344.0,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,5.88,29.41,64.71,22.08,6.88,0.054,0.18,0.766,,,29.399999618530273,72.4000015258789,0.7789999842643738
